O ***next*** O ***next*** O  ***next*** O ***next*** O ***next*** O ***next*** O O O O  ***next*** 
O ***next*** O ***next*** O  ***next*** O ***next*** O ***next*** O O O O  ***next*** O O O O O O O  ***next*** 
O O  ***next*** O O O  ***next*** O O O O O O O O  ***next*** O ***next*** O O O O  ***next*** O O O O O O O  ***next*** O  ***next*** 
O O O O O O O O  ***next*** O  ***next*** O O  ***next*** O  ***next*** O  ***next*** O O O O O O  ***next*** O  ***next*** 
O O O O O O O O  ***next*** O  ***next*** O O  ***next*** O  ***next*** O O O O O O  ***next*** O  ***next*** O  ***next*** 
O O O O O O O O  ***next*** O  ***next*** O O  ***next*** O O O O O O  ***next*** O  ***next*** O  ***next*** O O O O O O O O O O B-AREA-TO-NONE-CITY  ***next*** 
O O O O O O O O  ***next*** O  ***next*** O O  ***next*** O  ***next*** O  ***next*** O O O O O O O O O O B-AREA-TO-NONE-CITY  ***next*** O O O O O O O O O O O O O O O O O  ***next*** 
O O O O O O O O  ***next*** O  ***next*** O O  ***next*** O  ***next*** O O O O O O O O O O B-AREA-TO-NONE-CITY  ***next*** O O O O O O O O O O O O O O O O O  ***next*** O O O O O O O O  ***next*** 
O O  ***next*** O O O O O O  ***next*** O O B-TIME-NONE-NONE-INTERVAL  ***next*** O O O O O O O O O O B-AREA-TO-NONE-CITY  ***next*** O O O O O O O O O O O O O O O O O  ***next*** O O O O O O O O  ***next*** O  ***next*** 
O O O O O O  ***next*** O O B-TIME-NONE-NONE-INTERVAL  ***next*** O O O O O O O O O O O O O  ***next*** O O O O O O O O O O O O O O O O O  ***next*** O O O O O O O O  ***next*** O  ***next*** O  ***next*** 
O O O O O O  ***next*** O O B-TIME-NONE-NONE-INTERVAL  ***next*** O O O O O O O O O O O O O  ***next*** O O O O O O O O  ***next*** O  ***next*** O  ***next*** O O O O O O  ***next*** 
O O O  ***next*** O O O O O B-AREA-TO-NONE-CITY O O B-DET-NONE-NONE-EVENT  ***next*** O O O B-DET-NONE-NONE-EVENT B-TIME-NONE-NONE-DATE I-TIME-NONE-NONE-DATE I-TIME-NONE-NONE-DATE  ***next*** O  ***next*** O  ***next*** O O O O O O  ***next*** O  ***next*** 
O O  ***next*** O O O O O O O B-AREA-TO-NONE-CITY  ***next*** O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** O  ***next*** O O O O O O  ***next*** O  ***next*** O O O  ***next*** 
O O  ***next*** O O O O O O O B-AREA-TO-NONE-CITY  ***next*** O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** O O O O O O  ***next*** O  ***next*** O O O  ***next*** O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** 
O O O O O O O B-AREA-TO-NONE-CITY  ***next*** O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** O  ***next*** O  ***next*** O O O  ***next*** O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** O  ***next*** 
O O O O O O O B-AREA-TO-NONE-CITY  ***next*** O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** O  ***next*** O O O  ***next*** O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** O  ***next*** O O O B-TIME-NONE-NONE-INTERVAL O O O O O O B-AREA-NONE-NONE-CITY  ***next*** 
O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** O  ***next*** O O O O O O O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O  ***next*** O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** O  ***next*** O O O B-TIME-NONE-NONE-INTERVAL O O O O O O B-AREA-NONE-NONE-CITY  ***next*** O  ***next*** 
O O O  ***next*** O O O O O O O O O O O  ***next*** O O O O O O O  ***next*** O  ***next*** O O O B-TIME-NONE-NONE-INTERVAL O O O O O O B-AREA-NONE-NONE-CITY  ***next*** O  ***next*** O O  ***next*** 
O O O  ***next*** O O O O O O O O O O O  ***next*** O O O O O O O  ***next*** O O O B-TIME-NONE-NONE-INTERVAL O O O O O O B-AREA-NONE-NONE-CITY  ***next*** O  ***next*** O O  ***next*** O O O O O O O B-AREA-TO-NONE-CITY  ***next*** 
O O O O O O O O O O O  ***next*** O O O O O O O  ***next*** O O O O  ***next*** O  ***next*** O O  ***next*** O O O O O O O B-AREA-TO-NONE-CITY  ***next*** O  ***next*** 
O O O O O O O O O O O  ***next*** O O O O O O O  ***next*** O O O O  ***next*** O O  ***next*** O O O O O O O B-AREA-TO-NONE-CITY  ***next*** O  ***next*** O  ***next*** 
O O O O O O O O O O O  ***next*** O O O O O O O  ***next*** O O O O  ***next*** O O O O O O O B-AREA-TO-NONE-CITY  ***next*** O  ***next*** O  ***next*** O O O O O O O O O O B-AREA-TO-NONE-CITY O  ***next*** 
O O O O  ***next*** O O O O O O O O O O O O O O O O O O B-AREA-TO-NONE-CITY O  ***next*** O O O O O O O O O O  ***next*** O  ***next*** O  ***next*** O O O O O O O O O O B-AREA-TO-NONE-CITY O  ***next*** O O O O O O B-AREA-TO-NONE-CITY  ***next*** 
O O O O  ***next*** O O O O O O O O O O O O O O O O O O B-AREA-TO-NONE-CITY O  ***next*** O O O O O O O O O O  ***next*** O  ***next*** O O O O O O O O O O B-AREA-TO-NONE-CITY O  ***next*** O O O O O O B-AREA-TO-NONE-CITY  ***next*** O O B-TIME-NONE-NONE-DATE I-TIME-NONE-NONE-DATE O O  ***next*** 
O O O O  ***next*** O O O O O O O O O O O O O O O O O O B-AREA-TO-NONE-CITY O  ***next*** O O O O O O O O O O  ***next*** O O O O O O O O O O B-AREA-TO-NONE-CITY O  ***next*** O O O O O O B-AREA-TO-NONE-CITY  ***next*** O O B-TIME-NONE-NONE-DATE I-TIME-NONE-NONE-DATE O O  ***next*** O O O O O B-TIME-NONE-NONE-DATE I-TIME-NONE-NONE-DATE I-TIME-NONE-NONE-DATE I-TIME-NONE-NONE-DATE O  ***next*** 
O O O O O O O O O O  ***next*** O  ***next*** O O O O O O  ***next*** O O O O O O B-AREA-TO-NONE-CITY  ***next*** O O B-TIME-NONE-NONE-DATE I-TIME-NONE-NONE-DATE O O  ***next*** O O O O O B-TIME-NONE-NONE-DATE I-TIME-NONE-NONE-DATE I-TIME-NONE-NONE-DATE I-TIME-NONE-NONE-DATE O  ***next*** O  ***next*** 
O O O O O O O O O O  ***next*** O  ***next*** O O O O O O  ***next*** O O B-TIME-NONE-NONE-DATE I-TIME-NONE-NONE-DATE O O  ***next*** O O O O O B-TIME-NONE-NONE-DATE I-TIME-NONE-NONE-DATE I-TIME-NONE-NONE-DATE I-TIME-NONE-NONE-DATE O  ***next*** O  ***next*** O O O O O O O O O O  ***next*** 
O O O O O O O O O O  ***next*** O  ***next*** O O O O O O  ***next*** O O O O O B-TIME-NONE-NONE-DATE I-TIME-NONE-NONE-DATE I-TIME-NONE-NONE-DATE I-TIME-NONE-NONE-DATE O  ***next*** O  ***next*** O O O O O O O O O O  ***next*** O O O O O O O O O O O O O O O B-LOC-FROM-NONE-AIRPORT  ***next*** 
O O O O O O O O O O  ***next*** O  ***next*** O O O O O O  ***next*** O  ***next*** O O O O O O O O O O  ***next*** O O O O O O O O O O O O O O O B-LOC-FROM-NONE-AIRPORT  ***next*** O O O O O O O O B-LOC-NONE-NONE-HOTEL O O  ***next*** 
O O O O O O  ***next*** O O O  ***next*** O O O O O O O O O O O O O O O  ***next*** O O O O O O O O O O  ***next*** O O O O O O O O O O O O O O O B-LOC-FROM-NONE-AIRPORT  ***next*** O O O O O O O O B-LOC-NONE-NONE-HOTEL O O  ***next*** O O O O O O B-AREA-FROM-NONE-CITY O O B-TIME-NONE-NONE-DATE I-TIME-NONE-NONE-DATE  ***next*** 
O O O O O O O O O O O O O O O  ***next*** O  ***next*** O  ***next*** O O O O O O O O O O O O O O O B-LOC-FROM-NONE-AIRPORT  ***next*** O O O O O O O O B-LOC-NONE-NONE-HOTEL O O  ***next*** O O O O O O B-AREA-FROM-NONE-CITY O O B-TIME-NONE-NONE-DATE I-TIME-NONE-NONE-DATE  ***next*** O  ***next*** 
O O O O O O O O O O O O O O O  ***next*** O  ***next*** O  ***next*** O O O O O O O O B-LOC-NONE-NONE-HOTEL O O  ***next*** O O O O O O B-AREA-FROM-NONE-CITY O O B-TIME-NONE-NONE-DATE I-TIME-NONE-NONE-DATE  ***next*** O  ***next*** O  ***next*** 
O O O O O O O O O O O O O O O  ***next*** O  ***next*** O  ***next*** O O O O O O B-AREA-FROM-NONE-CITY O O B-TIME-NONE-NONE-DATE I-TIME-NONE-NONE-DATE  ***next*** O  ***next*** O  ***next*** O O O O O O O O  ***next*** 
O O O O O O O O O O O O O O O  ***next*** O  ***next*** O  ***next*** O  ***next*** O  ***next*** O O O O O O O O  ***next*** O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O O O  ***next*** 
O O O O O O O O O O O O O O O  ***next*** O  ***next*** O  ***next*** O  ***next*** O O O O O O O O  ***next*** O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O O O  ***next*** O O O O  ***next*** 
O  ***next*** O O O O O O O O O O O O  ***next*** O B-LOC-TO-NONE-ATTRACTION I-LOC-TO-NONE-ATTRACTION  ***next*** O O O O O O O O  ***next*** O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O O O  ***next*** O O O O  ***next*** O  ***next*** 
O B-LOC-TO-NONE-ATTRACTION I-LOC-TO-NONE-ATTRACTION  ***next*** O O O  ***next*** O O O O O O O B-DET-NONE-NONE-MAIN O O  ***next*** O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O O O  ***next*** O O O O  ***next*** O  ***next*** O O  ***next*** 
O B-LOC-TO-NONE-ATTRACTION I-LOC-TO-NONE-ATTRACTION  ***next*** O O O  ***next*** O O O O O O O B-DET-NONE-NONE-MAIN O O  ***next*** O O O O  ***next*** O  ***next*** O O  ***next*** O O O O O O O  ***next*** 
O B-LOC-TO-NONE-ATTRACTION I-LOC-TO-NONE-ATTRACTION  ***next*** O O O  ***next*** O O O O O O O B-DET-NONE-NONE-MAIN O O  ***next*** O  ***next*** O O  ***next*** O O O O O O O  ***next*** O O O B-FOOD-NONE-NONE-MAIN O O O O  ***next*** 
O O O O  ***next*** O O O O O O O O O O O O B-FOOD-NONE-NONE-MAIN O B-AREA-NONE-NONE-CITY  ***next*** O O O O O O O O O B-AREA-TO-NONE-CITY O O O O O O O O O  ***next*** O O  ***next*** O O O O O O O  ***next*** O O O B-FOOD-NONE-NONE-MAIN O O O O  ***next*** O  ***next*** 
O O O O  ***next*** O O O O O O O O O O O O B-FOOD-NONE-NONE-MAIN O B-AREA-NONE-NONE-CITY  ***next*** O O O O O O O O O B-AREA-TO-NONE-CITY O O O O O O O O O  ***next*** O O O O O O O  ***next*** O O O B-FOOD-NONE-NONE-MAIN O O O O  ***next*** O  ***next*** O  ***next*** 
O O O O  ***next*** O O O O O O O O O O O O B-FOOD-NONE-NONE-MAIN O B-AREA-NONE-NONE-CITY  ***next*** O O O O O O O O O B-AREA-TO-NONE-CITY O O O O O O O O O  ***next*** O O O B-FOOD-NONE-NONE-MAIN O O O O  ***next*** O  ***next*** O  ***next*** O  ***next*** 
O O O O  ***next*** O O O O O O O O O O O O B-FOOD-NONE-NONE-MAIN O B-AREA-NONE-NONE-CITY  ***next*** O O O O O O O O O B-AREA-TO-NONE-CITY O O O O O O O O O  ***next*** O  ***next*** O  ***next*** O  ***next*** O B-FOOD-NONE-NONE-MAIN I-FOOD-NONE-NONE-MAIN  ***next*** 
O  ***next*** O  ***next*** O O O B-DET-NONE-NONE-MEAL I-DET-NONE-NONE-MEAL B-AREA-NONE-NONE-CITY O  ***next*** O  ***next*** O  ***next*** O B-FOOD-NONE-NONE-MAIN I-FOOD-NONE-NONE-MAIN  ***next*** O  ***next*** 
O  ***next*** O  ***next*** O O O B-DET-NONE-NONE-MEAL I-DET-NONE-NONE-MEAL B-AREA-NONE-NONE-CITY O  ***next*** O  ***next*** O B-FOOD-NONE-NONE-MAIN I-FOOD-NONE-NONE-MAIN  ***next*** O  ***next*** O O  ***next*** 
O  ***next*** O  ***next*** O O O B-DET-NONE-NONE-MEAL I-DET-NONE-NONE-MEAL B-AREA-NONE-NONE-CITY O  ***next*** O B-FOOD-NONE-NONE-MAIN I-FOOD-NONE-NONE-MAIN  ***next*** O  ***next*** O O  ***next*** O O O O O O O O O B-FOOD-NONE-NONE-MAIN I-FOOD-NONE-NONE-MAIN O O O O O O  ***next*** 
O O O B-DET-NONE-NONE-MEAL I-DET-NONE-NONE-MEAL B-AREA-NONE-NONE-CITY O  ***next*** O  ***next*** O  ***next*** O  ***next*** O O  ***next*** O O O O O O O O O B-FOOD-NONE-NONE-MAIN I-FOOD-NONE-NONE-MAIN O O O O O O  ***next*** O O O O O B-FOOD-NONE-NONE-MAIN I-FOOD-NONE-NONE-MAIN O O  ***next*** 
O  ***next*** O  ***next*** O  ***next*** O O  ***next*** O O O O O O O O O B-FOOD-NONE-NONE-MAIN I-FOOD-NONE-NONE-MAIN O O O O O O  ***next*** O O O O O B-FOOD-NONE-NONE-MAIN I-FOOD-NONE-NONE-MAIN O O  ***next*** O O O O O  ***next*** 
O  ***next*** O  ***next*** O  ***next*** O O O O O O O O O B-FOOD-NONE-NONE-MAIN I-FOOD-NONE-NONE-MAIN O O O O O O  ***next*** O O O O O B-FOOD-NONE-NONE-MAIN I-FOOD-NONE-NONE-MAIN O O  ***next*** O O O O O  ***next*** O O B-AREA-NONE-NONE-CITY O O O O O O O  ***next*** 
O  ***next*** O  ***next*** O  ***next*** O O O O O B-FOOD-NONE-NONE-MAIN I-FOOD-NONE-NONE-MAIN O O  ***next*** O O O O O  ***next*** O O B-AREA-NONE-NONE-CITY O O O O O O O  ***next*** O O O O O O O O B-FOOD-NONE-NONE-MAIN  ***next*** 
O O O O O O O  ***next*** O O O O O O O O O O O O B-AREA-NONE-NONE-CITY O O O O O O O  ***next*** O O O O O O B-LOC-NONE-NONE-RESTAURANT O  ***next*** O O O O O  ***next*** O O B-AREA-NONE-NONE-CITY O O O O O O O  ***next*** O O O O O O O O B-FOOD-NONE-NONE-MAIN  ***next*** O  ***next*** 
O  ***next*** O  ***next*** O O  ***next*** O O B-AREA-NONE-NONE-CITY O O O O O O O  ***next*** O O O O O O O O B-FOOD-NONE-NONE-MAIN  ***next*** O  ***next*** O B-LOC-NONE-NONE-RESTAURANT I-LOC-NONE-NONE-RESTAURANT  ***next*** 
O  ***next*** O O  ***next*** O  ***next*** O O O O O O O O B-FOOD-NONE-NONE-MAIN  ***next*** O  ***next*** O B-LOC-NONE-NONE-RESTAURANT I-LOC-NONE-NONE-RESTAURANT  ***next*** O  ***next*** 
O  ***next*** O O O O O O O O O O O O  ***next*** O O O O O O O O O O O O O O B-DET-NONE-NONE-MAIN  ***next*** O  ***next*** O B-LOC-NONE-NONE-RESTAURANT I-LOC-NONE-NONE-RESTAURANT  ***next*** O  ***next*** O  ***next*** 
O  ***next*** O O O O O O O O O O O O  ***next*** O O O O O O O O O O O O O O B-DET-NONE-NONE-MAIN  ***next*** O B-LOC-NONE-NONE-RESTAURANT I-LOC-NONE-NONE-RESTAURANT  ***next*** O  ***next*** O  ***next*** O  ***next*** 
O  ***next*** O O O O O O O O O O O O  ***next*** O O O O O O O O O O O O O O B-DET-NONE-NONE-MAIN  ***next*** O  ***next*** O  ***next*** O  ***next*** O  ***next*** 
O  ***next*** O O O O O O O O O O O O  ***next*** O O O O O O O O O O O O O O B-DET-NONE-NONE-MAIN  ***next*** O  ***next*** O  ***next*** O  ***next*** O O O O O O O O  ***next*** 
O O O O O O O O O O O O  ***next*** O O O O O O O O O O O O O O B-DET-NONE-NONE-MAIN  ***next*** O  ***next*** O  ***next*** O  ***next*** O O O O O O O O  ***next*** O O O O O O O O O B-LOC-TO-NONE-AIRPORT  ***next*** 
O O O O O O O O O O O O  ***next*** O O O O O O O O O O O O O O B-DET-NONE-NONE-MAIN  ***next*** O  ***next*** O  ***next*** O O O O O O O O  ***next*** O O O O O O O O O B-LOC-TO-NONE-AIRPORT  ***next*** O O B-LOC-NONE-NONE-MAIN I-LOC-NONE-NONE-MAIN O O O  ***next*** 
O O O O O O O O O O O O  ***next*** O O O O O O O O O O O O O O B-DET-NONE-NONE-MAIN  ***next*** O  ***next*** O O O O O O O O  ***next*** O O O O O O O O O B-LOC-TO-NONE-AIRPORT  ***next*** O O B-LOC-NONE-NONE-MAIN I-LOC-NONE-NONE-MAIN O O O  ***next*** O O O O O O O B-LOC-NONE-NONE-MAIN I-LOC-NONE-NONE-MAIN B-LOC-NONE-NONE-AIRPORT O  ***next*** 
O O O O O O O O O O O O O O B-DET-NONE-NONE-MAIN  ***next*** O  ***next*** O  ***next*** O O O O O O O O O B-LOC-TO-NONE-AIRPORT  ***next*** O O B-LOC-NONE-NONE-MAIN I-LOC-NONE-NONE-MAIN O O O  ***next*** O O O O O O O B-LOC-NONE-NONE-MAIN I-LOC-NONE-NONE-MAIN B-LOC-NONE-NONE-AIRPORT O  ***next*** O O O O O O O B-AREA-NONE-DIRECTION-EAST-CITY  ***next*** 
O O O O O O O O O O O O O O B-DET-NONE-NONE-MAIN  ***next*** O  ***next*** O  ***next*** O O B-LOC-NONE-NONE-MAIN I-LOC-NONE-NONE-MAIN O O O  ***next*** O O O O O O O B-LOC-NONE-NONE-MAIN I-LOC-NONE-NONE-MAIN B-LOC-NONE-NONE-AIRPORT O  ***next*** O O O O O O O B-AREA-NONE-DIRECTION-EAST-CITY  ***next*** O O O O O O O B-LOC-TO-NONE-HOTEL I-LOC-TO-NONE-HOTEL  ***next*** 
O O O O O O O O O O O O O O B-DET-NONE-NONE-MAIN  ***next*** O  ***next*** O  ***next*** O O O O O O O B-LOC-NONE-NONE-MAIN I-LOC-NONE-NONE-MAIN B-LOC-NONE-NONE-AIRPORT O  ***next*** O O O O O O O B-AREA-NONE-DIRECTION-EAST-CITY  ***next*** O O O O O O O B-LOC-TO-NONE-HOTEL I-LOC-TO-NONE-HOTEL  ***next*** O O O O O O O O O B-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL  ***next*** 
O O O O O O O O O O O O O O B-DET-NONE-NONE-MAIN  ***next*** O  ***next*** O  ***next*** O O O O O O O B-AREA-NONE-DIRECTION-EAST-CITY  ***next*** O O O O O O O B-LOC-TO-NONE-HOTEL I-LOC-TO-NONE-HOTEL  ***next*** O O O O O O O O O B-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL  ***next*** O O O O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O B-TRSP-NONE-NONE-TYPE O O B-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL O  ***next*** 
O  ***next*** O  ***next*** O  ***next*** O O O O O O O B-LOC-TO-NONE-HOTEL I-LOC-TO-NONE-HOTEL  ***next*** O O O O O O O O O B-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL  ***next*** O O O O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O B-TRSP-NONE-NONE-TYPE O O B-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL O  ***next*** O O O O O O O B-LOC-NONE-NONE-HOTEL B-LOC-NONE-NONE-ROAD  ***next*** 
O  ***next*** O  ***next*** O  ***next*** O O O O O O O O O B-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL  ***next*** O O O O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O B-TRSP-NONE-NONE-TYPE O O B-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL O  ***next*** O O O O O O O B-LOC-NONE-NONE-HOTEL B-LOC-NONE-NONE-ROAD  ***next*** O O O O O O O  ***next*** 
O  ***next*** O  ***next*** O  ***next*** O O O O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O B-TRSP-NONE-NONE-TYPE O O B-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL O  ***next*** O O O O O O O B-LOC-NONE-NONE-HOTEL B-LOC-NONE-NONE-ROAD  ***next*** O O O O O O O  ***next*** O O O B-LOC-NONE-NONE-ROAD I-LOC-NONE-NONE-ROAD  ***next*** 
O  ***next*** O  ***next*** O  ***next*** O O O O O O O B-LOC-NONE-NONE-HOTEL B-LOC-NONE-NONE-ROAD  ***next*** O O O O O O O  ***next*** O O O B-LOC-NONE-NONE-ROAD I-LOC-NONE-NONE-ROAD  ***next*** O O O O O O O O B-TRSP-NONE-NONE-STATION I-TRSP-NONE-NONE-STATION I-TRSP-NONE-NONE-STATION O O  ***next*** 
O  ***next*** O  ***next*** O  ***next*** O O O O O O O  ***next*** O O O B-LOC-NONE-NONE-ROAD I-LOC-NONE-NONE-ROAD  ***next*** O O O O O O O O B-TRSP-NONE-NONE-STATION I-TRSP-NONE-NONE-STATION I-TRSP-NONE-NONE-STATION O O  ***next*** O O O O O B-TRSP-NONE-NONE-TYPE O O O O O B-LOC-NONE-NONE-SHOP I-LOC-NONE-NONE-SHOP I-LOC-NONE-NONE-SHOP  ***next*** 
O  ***next*** O  ***next*** O  ***next*** O O O B-LOC-NONE-NONE-ROAD I-LOC-NONE-NONE-ROAD  ***next*** O O O O O O O O B-TRSP-NONE-NONE-STATION I-TRSP-NONE-NONE-STATION I-TRSP-NONE-NONE-STATION O O  ***next*** O O O O O B-TRSP-NONE-NONE-TYPE O O O O O B-LOC-NONE-NONE-SHOP I-LOC-NONE-NONE-SHOP I-LOC-NONE-NONE-SHOP  ***next*** O  ***next*** 
O  ***next*** O  ***next*** O O  ***next*** O O O O O O O O B-TRSP-NONE-NONE-STATION I-TRSP-NONE-NONE-STATION I-TRSP-NONE-NONE-STATION O O  ***next*** O O O O O B-TRSP-NONE-NONE-TYPE O O O O O B-LOC-NONE-NONE-SHOP I-LOC-NONE-NONE-SHOP I-LOC-NONE-NONE-SHOP  ***next*** O  ***next*** O O  ***next*** 
O  ***next*** O  ***next*** O O  ***next*** O O O O O B-TRSP-NONE-NONE-TYPE O O O O O B-LOC-NONE-NONE-SHOP I-LOC-NONE-NONE-SHOP I-LOC-NONE-NONE-SHOP  ***next*** O  ***next*** O O  ***next*** O  ***next*** 
O O O  ***next*** O O  ***next*** O O O  ***next*** O  ***next*** O O  ***next*** O  ***next*** O  ***next*** 
O O O  ***next*** O O  ***next*** O O O  ***next*** O O  ***next*** O  ***next*** O  ***next*** O O O O O O O O O O O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL B-AREA-NONE-NONE-CITY O  ***next*** 
O O O  ***next*** O O  ***next*** O O O  ***next*** O  ***next*** O  ***next*** O O O O O O O O O O O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL B-AREA-NONE-NONE-CITY O  ***next*** O O O O O O B-TRSP-NONE-NONE-TYPE O O O B-LOC-TO-NONE-HOTEL O O O O O B-TRSP-NONE-NONE-TYPE  ***next*** 
O O  ***next*** B-TRSP-NONE-NONE-TYPE  ***next*** O  ***next*** O  ***next*** O O O O O O O O O O O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL B-AREA-NONE-NONE-CITY O  ***next*** O O O O O O B-TRSP-NONE-NONE-TYPE O O O B-LOC-TO-NONE-HOTEL O O O O O B-TRSP-NONE-NONE-TYPE  ***next*** O  ***next*** 
O O  ***next*** B-TRSP-NONE-NONE-TYPE  ***next*** O  ***next*** O O O O O O O O O O O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL B-AREA-NONE-NONE-CITY O  ***next*** O O O O O O B-TRSP-NONE-NONE-TYPE O O O B-LOC-TO-NONE-HOTEL O O O O O B-TRSP-NONE-NONE-TYPE  ***next*** O  ***next*** O O O O O O O O O O O B-LOC-TO-NONE-AIRPORT O O O O O B-TRSP-TO-NONE-STATION I-TRSP-TO-NONE-STATION I-TRSP-TO-NONE-STATION  ***next*** 
